phecodes,task,phenotype
303.3,303.3,Psychogenic disorder
303.31,303.31,Gastrointestinal malfunction arising from mental factors
303.4,303.4,Somatoform disorder
304.0,304.0,Adjustment reaction
305.2,305.2,Eating disorder
305.21,305.21,Anorexia nervosa
306.0,306.0,Other mental disorder
306.1,306.1,Mental disorders durring/after pregnancy
306.9,306.9,Tension headache
312.0,312.0,Conduct disorders
312.3,312.3,Impulse control disorder
313.0,313.0,Pervasive developmental disorders
313.1,313.1,Attention deficit hyperactivity disorder
313.2,313.2,Tics and stuttering
313.3,313.3,Autism
315.0,315.0,Develomental delays and disorders
315.1,315.1,Learning disorder
315.2,315.2,Speech and language disorder
315.3,315.3,Mental retardation
316.0,316.0,Substance addiction and disorders
316.1,316.1,Polyneuropathy due to drugs
317.0,317.0,Alcohol-related disorders
317.1,317.1,Alcoholism
317.11,317.11,Alcoholic liver damage
318.0,318.0,Tobacco use disorder
320.0,320.0,Meningitis
323.0,323.0,Encephalitis
323.2,323.2,Acute (transverse) myelitis
323.8,323.8,"Encephalitis, non-infectious"
324.0,324.0,Other CNS infection and poliomyelitis
324.1,324.1,Jakob-Creutzfeldt disease
325.0,325.0,Phlebitis and thrombophlebitis of intracranial venous sinuses
327.0,327.0,Sleep disorders
327.1,327.1,Hypersomnia
327.3,327.3,Sleep apnea
327.31,327.31,Central/nonobstroctive sleep apnea
327.32,327.32,Obstructive sleep apnea
327.4,327.4,Insomnia
327.41,327.41,Organic or persistent insomnia
327.5,327.5,Parasomnia
327.6,327.6,Circadian rhythm sleep disorder
327.7,327.7,Sleep related movement disorders
327.71,327.71,Restless legs syndrome
327.72,327.72,Sleep related leg cramps
331.0,331.0,Other cerebral degenerations
331.1,331.1,Hydrocephalus
331.9,331.9,"Cerebral degeneration, unspecified"
332.0,332.0,Parkinson's disease
333.0,333.0,Extrapyramidal disease and abnormal movement disorders
333.1,333.1,Essential tremor
333.2,333.2,Myoclonus
333.3,333.3,Tics and choreas
333.4,333.4,Torsion dystonia
333.8,333.8,Other degenerative diseases of the basal ganglia
334.0,334.0,Degenerative disease of the spinal cord
334.1,334.1,Spinocerebellar disease
334.2,334.2,Anterior horn cell disease
334.21,334.21,Amyotrophic Lateral Sclerosis
335.0,335.0,Multiple sclerosis
337.0,337.0,Disorders of the autonomic nervous system
337.1,337.1,Peripheral autonomic neuropathy
338.0,338.0,Pain
338.1,338.1,Acute pain
338.2,338.2,Chronic pain
339.0,339.0,Other headache syndromes
340.0,340.0,Migraine
340.1,340.1,Migrain with aura
341.0,341.0,Other demyelinating diseases of central nervous system
342.0,342.0,Hemiplegia
343.0,343.0,Infantile cerebral palsy
344.0,344.0,Other paralytic syndromes
345.0,345.0,"Epilepsy, recurrent seizures, convulsions"
345.1,345.1,Epilepsy
345.11,345.11,Generalized convulsive epilepsy
345.12,345.12,Partial epilepsy
345.3,345.3,Convulsions
346.0,346.0,Abnormal findings on study of brain and/or nervous system
346.1,346.1,Nonspecific abnormal findings on radiological and other examination of skull and head
346.2,346.2,Nonspecific abnormal results of function study of brain and central nervous system
346.3,346.3,Nonspecific abnormal findings in cerebrospinal fluid
347.0,347.0,Cataplexy and narcolepsy
348.0,348.0,Other conditions of brain
348.2,348.2,Cerebral edema and compression of brain
348.4,348.4,Cerebral cysts
348.7,348.7,Coma
348.8,348.8,"Encephalopathy, not elsewhere classified"
348.9,348.9,"Other conditions of brain, NOS"
349.0,349.0,Other and unspecified disorders of the nervous system
350.0,350.0,Abnormal movement
350.1,350.1,Abnormal involuntary movements
350.2,350.2,Abnormality of gait
350.3,350.3,Lack of coordination
350.5,350.5,Abnormal reflex
350.6,350.6,Disturbances of sensation of smell and taste
351.0,351.0,Other peripheral nerve disorders
352.0,352.0,Disorders of other cranial nerves
352.1,352.1,Trigeminal nerve disorders [CN5]
352.2,352.2,Facial nerve disorders [CN7]
353.0,353.0,Nerve root and plexus disorders
353.1,353.1,Nerve plexus lesions
353.2,353.2,Nerve root lesions
355.0,355.0,Complex regional/central pain syndrome
355.1,355.1,Chronic pain syndrome
356.0,356.0,Hereditary and idiopathic peripheral neuropathy
357.0,357.0,Inflammatory and toxic neuropathy
358.0,358.0,Myoneural disorders
358.1,358.1,Myasthenia gravis
359.0,359.0,Muscular dystrophies and other myopathies
359.1,359.1,Muscular dystrophies
359.2,359.2,Myopathy
360.0,360.0,Disorders of the globe
360.2,360.2,Progressive myopia
360.3,360.3,Hypotony of eye
361.0,361.0,Retinal detachments and defects
361.1,361.1,Retinal detachment with retinal defect
361.2,361.2,Retinoschisis and retinal cysts
362.0,362.0,Other retinal disorders
362.1,362.1,Retinopathy of prematurity
362.2,362.2,Degeneration of macula and posterior pole of retina
362.21,362.21,"Macular degeneration, dry"
362.22,362.22,"Macular degeneration, wet"
362.23,362.23,Cystoid macular degeneration of retina
362.26,362.26,Macular puckering of retina
362.27,362.27,Drusen (degenerative) of retina
362.29,362.29,Macular degeneration (senile) of retina NOS
362.3,362.3,Other nondiabetic retinopathy
362.31,362.31,Separation of retinal layers
362.4,362.4,Retinal vascular changes and abnomalities
362.5,362.5,Toxic maculopathy of retina
362.6,362.6,Peripheral retinal degenerations
362.7,362.7,Hereditary retinal dystrophies
362.8,362.8,Retinal hemorrhage/ischemia
362.9,362.9,Retinal edema
363.0,363.0,"Chorioretinal inflammations, scars, and other disorders of choroid"
363.3,363.3,Chorioretinal scars
363.4,363.4,Choroidal degenerations
364.0,364.0,Corneal opacity and other disorders of cornea
364.1,364.1,Corneal opacity
364.2,364.2,Corneal edema
364.4,364.4,Corneal degenerations
364.41,364.41,Keratoconus
364.5,364.5,Corneal dystrophy
364.51,364.51,Fuchs' dystrophy
364.9,364.9,Cornea replaced by transplant
365.0,365.0,Glaucoma
365.1,365.1,Open-angle glaucoma
365.11,365.11,Primary open angle glaucoma
365.2,365.2,Primary angle-closure glaucoma
365.5,365.5,Pseudoexfoliation glaucoma
366.0,366.0,Cataract
366.1,366.1,Nonsenile Cataract
366.2,366.2,Senile cataract
366.3,366.3,Traumatic cataract
367.0,367.0,Disorders of refraction and accommodation; blindness and low vision
367.1,367.1,Myopia
367.2,367.2,Astigmatism
367.4,367.4,Presbyopia
367.8,367.8,Hypermetropia
367.9,367.9,Blindness and low vision
368.0,368.0,Visual disturbances
368.1,368.1,Amblyopia
368.2,368.2,Diplopia and disorders of binocular vision
368.3,368.3,Anisometropia
368.4,368.4,Visual field defects
368.5,368.5,Color vision deficiencies
368.7,368.7,Disorders of accommodation
368.9,368.9,Subjective visual disturbances
368.91,368.91,Psychophysical visual disturbances
369.0,369.0,Infection of the eye
369.2,369.2,"Eye infection, viral"
369.5,369.5,"Conjunctivitis, infectious"
370.0,370.0,Keratitis
370.1,370.1,Corneal ulcer
370.2,370.2,Superficial keratitis
370.3,370.3,Keratoconjunctivitis
370.31,370.31,Keratoconjunctivitis sicca
371.0,371.0,Inflammation of the eye
371.1,371.1,"Uveitis, noninfectious or NOS"
371.2,371.2,"Conjunctivitis, noninfectious"
371.21,371.21,Allergic conjunctivitis
371.3,371.3,Inflammation of eyelids
371.33,371.33,Noninfectious dermatoses of eyelid
371.9,371.9,Chronic inflammatory disorders of orbit
372.0,372.0,Disorders of conjunctiva
374.0,374.0,Other disorders of eyelids
374.1,374.1,Ectropion or entropion
374.2,374.2,Lagophthalmos
374.3,374.3,Ptosis of eyelid
374.6,374.6,Dermatochalasis
375.0,375.0,Disorders of lacrimal system
375.1,375.1,Dry eyes
375.2,375.2,Epiphora
376.0,376.0,Disorders of the orbit
377.0,377.0,Disorders of optic nerve and visual pathways
377.1,377.1,Optic atrophy
377.3,377.3,Optic neuritis/neuropathy
378.0,378.0,Strabismus and other disorders of binocular eye movements
378.1,378.1,Strabismus (not specified as paralytic)
378.2,378.2,Nystagmus and other irregular eye movements
378.5,378.5,Paralytic strabismus
379.0,379.0,Other disorders of eye
379.1,379.1,Scleritis and episcleritis
379.2,379.2,Disorders of vitreous body
379.3,379.3,Aphakia and other disorders of lens
379.4,379.4,Anomalies of pupillary function
379.5,379.5,Disorders of iris and ciliary body
379.51,379.51,Pigmentary iris degeneration
379.9,379.9,"Pain, swelling or discharge of eye"
380.0,380.0,Disorders of external ear
380.1,380.1,Otitis externa
380.4,380.4,Impacted cerumen
381.0,381.0,Otitis media and Eustachian tube disorders
381.1,381.1,Otitis media
381.11,381.11,Suppurative and unspecified otitis media
381.2,381.2,Eustachian tube disorders
381.3,381.3,Mastoiditis & related conditions
381.9,381.9,Otorrhea
382.0,382.0,Otalgia
383.0,383.0,Otosclerosis
384.0,384.0,Other disorders of tympanic membrane
384.1,384.1,Myringitis
384.4,384.4,Perforation of tympanic membrane
385.0,385.0,Other disorders of middle ear and mastoid
385.3,385.3,Cholesteatoma
385.5,385.5,Tympanosclerosis and middle ear disease related to otitis media
386.0,386.0,Vertiginous syndromes and other disorders of vestibular system
386.1,386.1,Meniere's disease
386.2,386.2,Peripheral or central vertigo
386.21,386.21,Central origin vertigo
386.3,386.3,Labyrinthitis
386.9,386.9,Dizziness and giddiness (Light-headedness and vertigo)
388.0,388.0,Other disorders of ear
389.0,389.0,Hearing loss
389.1,389.1,Sensorineural hearing loss
389.2,389.2,Conductive hearing loss
389.3,389.3,Degenerative and vascular disorders of ear
389.4,389.4,Tinnitus
389.5,389.5,Disorders of acoustic nerve
394.0,394.0,Rheumatic disease of the heart valves
394.1,394.1,Mitral valve stenosis and aortic valve stenosis
394.2,394.2,Mitral valve disease
394.3,394.3,Aortic valve disease
394.4,394.4,Acute rheumatic heart disease
394.7,394.7,Disease of tricuspid valve
395.0,395.0,Heart valve disorders
395.1,395.1,Nonrheumatic mitral valve disorders
395.2,395.2,Nonrheumatic aortic valve disorders
395.3,395.3,Nonrheumatic tricuspid valve disorders
395.4,395.4,Nonrheumatic pulmonary valve disorders
395.6,395.6,Heart valve replaced
396.0,396.0,Abnormal heart sounds
401.0,401.0,Hypertension
401.0,CVD_Hypertensive_Diseases,Hypertension
401.1,CVD_Hypertensive_Diseases,Essential hypertension
401.1,401.1,Essential hypertension
401.2,ckd,Hypertensive heart and/or renal disease
401.2,401.2,Hypertensive heart and/or renal disease
401.2,CVD_Hypertensive_Diseases,Hypertensive heart and/or renal disease
401.21,CVD_Hypertensive_Diseases,Hypertensive heart disease
401.21,401.21,Hypertensive heart disease
401.22,401.22,Hypertensive chronic kidney disease
401.22,CVD_Hypertensive_Diseases,Hypertensive chronic kidney disease
401.22,ckd,Hypertensive chronic kidney disease
401.3,CVD_Hypertensive_Diseases,Other hypertensive complications
401.3,401.3,Other hypertensive complications
402.0,402.0,Elevated blood pressure reading without diagnosis of hypertension
411.0,411.0,Ischemic Heart Disease
411.1,411.1,Unstable angina (intermediate coronary syndrome)
411.1,CVD_Ischemic_Heart_Disease,Unstable angina
411.2,411.2,Myocardial infarction
411.2,CVD_Ischemic_Heart_Disease,Myocardial infarction
411.3,CVD_Ischemic_Heart_Disease,Angina pectoris
411.3,411.3,Angina pectoris
411.4,411.4,Coronary atherosclerosis
411.4,CVD_Systemic_Atherosclerosis,Coronary atherosclerosis
411.4,CVD_Ischemic_Heart_Disease,Coronary atherosclerosis
411.41,411.41,Aneurysm and dissection of heart
411.8,411.8,"Other chronic ischemic heart disease, unspecified"
411.8,CVD_Ischemic_Heart_Disease,"Other chronic ischemic heart disease, unspecified"
411.9,411.9,Other acute and subacute forms of ischemic heart disease
411.9,CVD_Ischemic_Heart_Disease,Other acute and subacute forms of ischemic heart disease
414.0,414.0,Other forms of chronic heart disease
414.2,414.2,ASCVD
415.0,415.0,Pulmonary heart disease
415.1,415.1,Acute pulmonary heart disease
415.11,415.11,"Pulmonary embolism and infarction, acute"
415.2,415.2,Chronic pulmonary heart disease
415.21,415.21,Primary pulmonary hypertension
416.0,416.0,Cardiomegaly
418.0,418.0,Nonspecific chest pain
418.1,418.1,Precordial pain
420.0,420.0,Carditis
420.1,420.1,Myocarditis
420.2,420.2,Pericarditis
420.21,420.21,Acute pericarditis
420.22,420.22,Chronic pericarditis
420.3,420.3,Endocarditis
425.0,425.0,Cardiomyopathy
425.1,425.1,Primary/intrinsic cardiomyopathies
425.11,425.11,Hypertrophic obstructive cardiomyopathy
425.12,425.12,Other hypertrophic cardiomyopathy
425.2,425.2,Secondary/extrinsic cardiomyopathies
425.8,425.8,Other cardiomyopathy
426.0,426.0,Cardiac conduction disorders
426.2,426.2,Atrioventricular [AV] block
426.21,426.21,First degree AV block
426.22,426.22,Mobitz II AV block
426.23,426.23,Second degree AV block
426.24,426.24,"Atrioventricular block, complete"
426.25,426.25,Other heart block
426.3,426.3,Bundle branch block
426.31,426.31,Right bundle branch block
426.32,426.32,Left bundle branch block
426.4,426.4,Anomalous atrioventricular excitation
426.7,426.7,Abnormal electrocardiogram [ECG] [EKG]
426.8,426.8,Other cardiac conduction disorders
426.9,426.9,Cardiac pacemaker/device in situ
426.91,426.91,Cardiac pacemaker in situ
426.92,426.92,Cardiac defibrillator in situ
427.0,427.0,Cardiac dysrhythmias
427.1,427.1,"Paroxysmal tachycardia, unspecified"
427.11,427.11,Paroxysmal supraventricular tachycardia
427.12,427.12,Paroxysmal ventricular tachycardia
427.12,CVD_Cardiac_Arrhythmias,Paroxysmal ventricular tachycardia
427.2,427.2,Atrial fibrillation and flutter
427.21,CVD_Cardiac_Arrhythmias,Atrial fibrillation
427.21,427.21,Atrial fibrillation
427.22,427.22,Atrial flutter
427.22,CVD_Cardiac_Arrhythmias,Atrial flutter
427.3,427.3,Other specified cardiac dysrhythmias
427.4,427.4,Cardiac arrest and ventricular fibrillation
427.41,427.41,Ventricular fibrillation and flutter
427.42,427.42,Cardiac arrest
427.5,427.5,Arrhythmia (cardiac) NOS
427.6,427.6,Premature beats
427.61,427.61,Supraventricular premature beats
427.7,427.7,Tachycardia NOS
427.8,427.8,Sinoatrial node dysfunction (Bradycardia)
427.9,427.9,Palpitations
428.0,428.0,Congestive heart failure; nonhypertensive
428.1,CVD_Heart_Failure,Congestive heart failure (CHF) NOS
428.1,428.1,Congestive heart failure (CHF) NOS
428.2,CVD_Heart_Failure,Heart failure NOS
428.2,428.2,Heart failure NOS
428.3,428.3,Heart failure with reduced EF [Systolic or combined heart failure]
428.3,CVD_Heart_Failure,Heart failure with reduced EF
428.4,CVD_Heart_Failure,Heart failure with preserved EF
428.4,428.4,Heart failure with preserved EF [Diastolic heart failure]
429.0,429.0,Ill-defined descriptions and complications of heart disease
429.1,429.1,Heart transplant/surgery
429.2,429.2,Abnormal function study of cardiovascular system
429.3,429.3,Symptoms involving cardiovascular system
429.9,429.9,"Cardiac complications, not elsewhere classified"
430.0,430.0,Intracranial hemorrhage
430.1,430.1,Subarachnoid hemorrhage
430.2,CVD_Cerebrovascular_Disease,Intracerebral hemorrhage
430.2,430.2,Intracerebral hemorrhage
430.3,430.3,Subdural hemorrhage
433.0,433.0,Cerebrovascular disease
433.1,433.1,Occlusion and stenosis of precerebral arteries
433.11,CVD_Cerebrovascular_Disease,"Occlusion of cerebral arteries, with cerebral infarction"
433.11,433.11,"Occlusion of cerebral arteries, with cerebral infarction"
433.12,433.12,Cerebral atherosclerosis
433.12,CVD_Cerebrovascular_Disease,Cerebral atherosclerosis
433.12,CVD_Systemic_Atherosclerosis,Cerebral atherosclerosis
433.2,433.2,Occlusion of cerebral arteries
433.21,CVD_Cerebrovascular_Disease,"Cerebral artery occlusion, with cerebral infarction"
433.21,433.21,"Cerebral artery occlusion, with cerebral infarction"
433.3,433.3,Cerebral ischemia
433.31,433.31,Transient cerebral ischemia
433.32,433.32,Moyamoya disease
433.5,433.5,Cerebral aneurysm
433.6,433.6,"Acute, but ill-defined cerebrovascular disease"
433.8,433.8,Late effects of cerebrovascular disease
440.0,440.0,Atherosclerosis
440.0,CVD_Systemic_Atherosclerosis,Atherosclerosis
440.1,CVD_Peripheral_Artery_Disease,Atherosclerosis of renal artery
440.1,440.1,Atherosclerosis of renal artery
440.1,CVD_Systemic_Atherosclerosis,Atherosclerosis of renal artery
440.2,CVD_Systemic_Atherosclerosis,Atherosclerosis of the extremities
440.2,440.2,Atherosclerosis of the extremities
440.2,CVD_Peripheral_Artery_Disease,Atherosclerosis of the extremities
440.21,CVD_Peripheral_Artery_Disease,Atherosclerosis of native arteries with ulceration
440.21,440.21,Atherosclerosis of native arteries of the extremities with ulceration or gangrene
440.21,CVD_Systemic_Atherosclerosis,Atherosclerosis of native arteries of the extremities with ulceration or gangrene
440.22,CVD_Systemic_Atherosclerosis,Atherosclerosis of native arteries of the extremities with intermittent claudication
440.22,CVD_Peripheral_Artery_Disease,Atherosclerosis with claudication
440.22,440.22,Atherosclerosis of native arteries of the extremities with intermittent claudication
440.9,440.9,Atherosclerosis of aorta
440.9,CVD_Peripheral_Artery_Disease,Atherosclerosis of aorta
440.9,CVD_Systemic_Atherosclerosis,Atherosclerosis of aorta
441.0,441.0,Vascular insufficiency of intestine
441.1,441.1,Acute vascular insufficiency of intestine
441.2,441.2,Chronic vascular insufficiency of intestine
442.0,442.0,Other aneurysm
442.1,442.1,Aortic aneurysm
442.11,442.11,Abdominal aortic aneurysm
442.2,442.2,Aneurysm of iliac artery
442.3,442.3,Aneurysm of artery of lower extremity
442.4,442.4,Arterial dissection
442.8,442.8,Aneurysm of other specified artery
443.0,443.0,Peripheral vascular disease
443.1,443.1,Raynaud's syndrome
443.7,443.7,Peripheral angiopathy in diseases classified elsewhere
443.8,443.8,Other specified peripheral vascular diseases
443.9,CVD_Peripheral_Artery_Disease,"Peripheral vascular disease, unspecified"
443.9,443.9,"Peripheral vascular disease, unspecified"
444.0,444.0,Arterial embolism and thrombosis
444.1,444.1,Arterial embolism and thrombosis of lower extremity artery
444.2,444.2,Embolism and thrombosis of abdominal aorta
444.5,444.5,Atheroembolism
446.0,446.0,Polyarteritis nodosa and allied conditions
446.1,446.1,Thromboangiitis obliterans
446.2,446.2,Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)
446.3,446.3,Hypersensitivity angiitis
446.4,446.4,Wegener's granulomatosis
446.5,446.5,Giant cell arteritis
446.6,446.6,Polyarteritis nodosa
446.7,446.7,Takayasu's disease
446.8,446.8,Thrombotic microangiopathy
446.9,446.9,Arteritis NOS
447.0,447.0,Other disorders of arteries and arterioles
447.1,447.1,Stricture of artery
447.7,447.7,Aortic ectasia
448.0,448.0,Disease of capillaries
450.0,450.0,Noninfectious disorders of lymphatic channels
451.0,451.0,Phlebitis and thrombophlebitis
451.2,451.2,Phlebitis and thrombophlebitis of lower extremities
452.0,452.0,Other venous embolism and thrombosis
452.1,452.1,Iatrogenic pulmonary embolism and infarction
452.2,452.2,Deep vein thrombosis [DVT]
452.8,452.8,Postphlebitic syndrome
453.0,453.0,Chronic venous hypertension
454.0,454.0,Varicose veins
454.1,454.1,Varicose veins of lower extremity
454.11,454.11,"Varicose veins of lower extremity, symptomtic"
455.0,455.0,Hemorrhoids
456.0,456.0,Chronic venous insufficiency [CVI]
457.0,457.0,"Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin"
457.2,457.2,Encounter for long-term (current) use of antiplatelets/antithrombotics
457.3,457.3,Encounter for long-term (current) use of aspirin
458.0,458.0,Hypotension
458.1,458.1,Orthostatic hypotension
458.2,458.2,Iatrogenic hypotension
458.9,458.9,Hypotension NOS
459.0,459.0,Other disorders of circulatory system
459.1,459.1,Hemorrhage NOS
459.7,459.7,Blood vessel replaced
459.9,459.9,Circulatory disease NEC
464.0,464.0,Acute sinusitis
465.0,465.0,Acute upper respiratory infections of multiple or unspecified sites
465.2,465.2,Acute pharyngitis
465.4,465.4,Acute laryngitis and tracheitis
470.0,470.0,Septal Deviations/Turbinate Hypertrophy
471.0,471.0,Nasal polyps
472.0,472.0,Chronic pharyngitis and nasopharyngitis
473.0,473.0,Diseases of the larynx and vocal cords
473.1,473.1,Chronic laryngitis
473.3,473.3,Paralysis/spasm of vocal cords or larynx
473.4,473.4,Voice disturbance
474.0,474.0,Acute and chronic tonsillitis
474.1,474.1,Acute tonsillitis
474.2,474.2,Chronic tonsillitis and adenoiditis
475.0,475.0,Chronic sinusitis
475.9,475.9,Postnasal drip
476.0,476.0,Allergic rhinitis
477.0,477.0,Epistaxis or throat hemorrhage
478.0,478.0,Throat pain
479.0,479.0,Other upper respiratory disease
480.0,480.0,Pneumonia
480.1,480.1,Bacterial pneumonia
480.11,480.11,Pneumococcal pneumonia
480.12,480.12,Pseudomonal pneumonia
480.13,480.13,MRSA pneumonia
480.2,480.2,Viral pneumonia
480.3,480.3,Pneumonia due to fungus (mycoses)
480.5,480.5,Bronchopneumonia and lung abscess
481.0,481.0,Influenza
483.0,483.0,Acute bronchitis and bronchiolitis
495.0,495.0,Asthma
495.1,495.1,Chronic obstructive asthma
495.11,495.11,Chronic obstructive asthma with exacerbation
495.2,495.2,Asthma with exacerbation
496.0,496.0,Chronic airway obstruction
496.1,chronic_respiratory,Emphysema
496.1,496.1,Emphysema
496.2,chronic_respiratory,Chronic bronchitis
496.2,496.2,Chronic bronchitis
496.21,chronic_respiratory,Obstructive chronic bronchitis
496.21,496.21,Obstructive chronic bronchitis
496.3,496.3,Bronchiectasis
496.3,chronic_respiratory,Bronchiectasis
497.0,497.0,Bronchitis
498.0,498.0,Acute bronchospasm
499.0,499.0,Cystic fibrosis
500.0,500.0,Lung disease due to external agents
500.1,500.1,Extrinsic allergic alveolitis
500.2,500.2,Pneumoconiosis
501.0,501.0,Pneumonitis due to inhalation of food or vomitus
502.0,502.0,Postinflammatory pulmonary fibrosis
503.0,503.0,Pulmonary congestion and hypostasis
504.0,504.0,Other alveolar and parietoalveolar pneumonopathy
504.1,504.1,Idiopathic fibrosing alveolitis
505.0,505.0,Other pulmonary inflamation or edema
506.0,506.0,Empyema and pneumothorax
507.0,507.0,Pleurisy; pleural effusion
508.0,508.0,Pulmonary collapse; interstitial and compensatory emphysema
509.0,509.0,"Respiratory failure, insufficiency, arrest"
509.1,509.1,Respiratory failure
509.2,509.2,Respiratory insufficiency
509.3,509.3,Pulmonary insufficiency or respiratory failure following trauma and surgery
509.5,509.5,Respiratory arrest
509.8,509.8,Dependence on respirator [Ventilator] or supplemental oxygen
510.0,510.0,Other diseases of lung
510.2,510.2,Lung transplant
512.0,512.0,Other symptoms of respiratory system
512.1,512.1,Wheezing
512.2,512.2,Painful respiration
512.3,512.3,Abnormal chest sounds
512.7,512.7,Shortness of breath
512.8,512.8,Cough
512.9,512.9,Other dyspnea
513.0,513.0,Respiratory abnormalities
513.3,513.3,Hypoventilation
513.31,513.31,Apnea
513.32,513.32,Orthopnea
513.4,513.4,Hyperventilation
513.8,513.8,Disorders of diaphragm
514.0,514.0,Abnormal findings examination of lungs
514.1,514.1,Abnormal results of function study of pulmonary system
514.2,514.2,Solitary pulmonary nodule
516.0,516.0,Abnormal sputum
516.1,516.1,Hemoptysis
519.0,519.0,"Other diseases of respiratory system, not elsewhere classified"
519.1,519.1,Tracheostomy complications
519.2,519.2,Respiratory complications
519.8,519.8,"Other diseases of respiratory system, NEC"
519.9,519.9,Symptoms involving respiratory system and other chest symptoms
520.0,520.0,Disorders of tooth development
520.1,520.1,Hereditary disturbances in tooth structure
520.2,520.2,Disturbances in tooth eruption
521.0,521.0,Diseases of hard tissues of teeth
521.1,521.1,Dental caries
521.2,521.2,"Dental abrasion, erosion and attrition"
521.4,521.4,Tooth complications likely association with other diseases
522.0,522.0,Diseases of pulp and periapical tissues
522.1,522.1,Pulpitis and necrosis of tooth pulp
522.5,522.5,Periapical abscess
523.0,523.0,Gingival and periodontal diseases
523.1,523.1,Gingivitis
523.3,523.3,Periodontitis (acute or chronic)
523.31,523.31,Acute periodontitis
523.32,523.32,Chronic periodontitis
524.0,524.0,"Dentofacial anomalies, including malocclusion"
524.3,524.3,Anomalies of tooth position/malocclusion
525.0,525.0,Other diseases of the teeth and supporting structures
525.1,525.1,Loss of teeth or edentulism
525.2,525.2,Atrophy of edentulous alveolar ridge
526.0,526.0,Diseases of the jaws
526.1,526.1,Cysts of the jaws
526.3,526.3,Anomalies of jaw size/symmetry
526.4,526.4,Temporomandibular joint disorders
526.41,526.41,"Temporomandibular joint disorder, unspecified"
526.42,526.42,Arthralgia/ankylosis of temporomandibular joint
526.5,526.5,Inflammatory conditions of jaw
526.8,526.8,Exostosis of jaw
526.9,526.9,Jaw disease NOS
527.0,527.0,Diseases of the salivary glands
527.1,527.1,Hypertrophy of salivary gland
527.2,527.2,Sialoadenitis
527.7,527.7,Disturbance of salivary secretion
527.8,527.8,Other specified diseases of the salivary glands
528.0,528.0,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
528.1,528.1,Stomatitis and mucositis
528.11,528.11,Stomatitis and mucositis (ulcerative)
528.12,528.12,Oral aphthae
528.3,528.3,Cellulitis and abscess of oral soft tissues
528.4,528.4,Cysts of oral soft tissues
528.41,528.41,Cyst of the salivary gland
528.5,528.5,Diseases of lips
528.6,528.6,Leukoplakia of oral mucosa
528.7,528.7,Sialolithiasis
529.0,529.0,Diseases and other conditions of the tongue
529.1,529.1,Glossitis
529.6,529.6,Glossodynia
530.0,530.0,Diseases of esophagus
530.1,530.1,"Esophagitis, GERD and related diseases"
530.11,530.11,GERD
530.12,530.12,Ulcer of esophagus
530.13,530.13,Barrett's esophagus
530.14,530.14,Reflux esophagitis
530.15,530.15,Eosinophilic esophagitis
530.2,530.2,Esophageal bleeding (varices/hemorrhage)
530.3,530.3,Stricture and stenosis of esophagus
530.5,530.5,Disorders of esophageal motility
530.6,530.6,"Diverticulum of esophagus, acquired"
530.7,530.7,Gastroesophageal laceration-hemorrhage syndrome
530.9,530.9,Heartburn
531.0,531.0,Peptic ulcer (excl. esophageal)
531.1,531.1,Hemorrhage from gastrointestinal ulcer
531.2,531.2,Gastric ulcer
531.3,531.3,Duodenal ulcer
531.4,531.4,"Peptic ulcer, site unspecified"
531.5,531.5,Gastrojejunal ulcer
532.0,532.0,Dysphagia
535.0,535.0,Gastritis and duodenitis
535.1,535.1,Acute gastritis
535.2,535.2,Atrophic gastritis
535.6,535.6,Duodenitis
535.8,535.8,Other specified gastritis
535.9,535.9,"Gastritis and duodenitis, NOS"
536.0,536.0,Disorders of function of stomach
536.3,536.3,Gastroparesis
536.7,536.7,"Complications of gastrostomy, colostomy and enterostomy"
536.8,536.8,Dyspepsia and other specified disorders of function of stomach
537.0,537.0,Other disorders of stomach and duodenum
537.1,537.1,Lesions of stomach and duodenum
539.0,539.0,Bariatric surgery
540.0,540.0,Appendiceal conditions
540.1,540.1,Appendicitis
540.11,540.11,Acute appendicitis
550.0,550.0,Abdominal hernia
550.1,550.1,Inguinal hernia
550.2,550.2,Diaphragmatic hernia
550.3,550.3,Femoral hernia
550.4,550.4,Umbilical hernia
550.5,550.5,Ventral hernia
550.6,550.6,Incisional hernia
555.0,555.0,Inflammatory bowel disease and other gastroenteritis and colitis
555.1,555.1,Regional enteritis
555.2,555.2,Ulcerative colitis
555.21,555.21,Ulcerative colitis (chronic)
556.0,556.0,Ulceration of the lower GI tract
556.1,556.1,Ulceration of intestine
556.11,556.11,Angiodysplasia of intestine (without mention of hemorrhage)
557.0,557.0,Intestinal malabsorption (non-celiac)
557.1,557.1,Celiac disease
558.0,558.0,Noninfectious gastroenteritis
559.0,559.0,Ileostomy status
560.0,560.0,Intestinal obstruction without mention of hernia
560.1,560.1,Paralytic ileus
560.2,560.2,Impaction of intestine
560.3,560.3,Peritoneal or intestinal adhesions
560.4,560.4,Other intestinal obstruction
561.0,561.0,Symptoms involving digestive system
561.1,561.1,Diarrhea
561.2,561.2,Flatulence
562.0,562.0,Diverticulosis and diverticulitis
562.1,562.1,Diverticulosis
562.2,562.2,Diverticulitis
563.0,563.0,Constipation
564.0,564.0,Functional digestive disorders
